trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
81,6500,10,6200,8,left,1,11,4.259,Wed May 11 15:28:13 2016
82,6350,9,6200,8,left,1,8,5.961,Wed May 11 15:28:20 2016
83,5450,3,5600,4,right,1,3,4.425,Wed May 11 15:28:25 2016
84,5600,4,5150,1,left,1,6,7.445,Wed May 11 15:28:33 2016
85,6200,8,6350,9,right,1,8,3.457,Wed May 11 15:28:37 2016
86,1350,7,1150,1,right,0,22,7.946,Wed May 11 15:28:45 2016
87,6050,7,6200,8,right,1,7,5.359,Wed May 11 15:28:54 2016
88,6350,9,6050,7,left,1,10,3.909,Wed May 11 15:28:59 2016
89,1250,4,1450,10,left,0,23,4.708,Wed May 11 15:29:04 2016
90,1350,7,1450,10,left,0,21,4.61,Wed May 11 15:29:09 2016
91,6350,9,6200,8,left,1,8,6.093,Wed May 11 15:29:19 2016
92,6050,7,6500,10,right,1,12,28.334,Wed May 11 15:29:48 2016
93,5450,3,5600,4,right,1,3,3.209,Wed May 11 15:29:52 2016
94,1450,10,1350,7,right,0,21,3.441,Wed May 11 15:29:56 2016
95,5150,1,5300,2,right,1,1,3.342,Wed May 11 15:29:59 2016
96,6350,9,5450,3,right,0,15,6.312,Wed May 11 15:30:06 2016
97,6200,8,6050,7,left,1,7,6.644,Wed May 11 15:30:13 2016
98,6200,8,6350,9,right,1,8,7.413,Wed May 11 15:30:21 2016
99,5450,3,5300,2,left,1,2,4.558,Wed May 11 15:30:26 2016
100,5450,3,5300,2,left,1,2,4.558,Wed May 11 15:30:32 2016
101,5600,4,6050,7,left,0,14,18.724,Wed May 11 15:31:04 2016
102,5600,4,5450,3,left,1,3,4.425,Wed May 11 15:31:09 2016
103,1250,4,1350,7,left,0,20,3.156,Wed May 11 15:31:12 2016
104,5450,3,5600,4,right,1,3,2.54,Wed May 11 15:31:15 2016
105,5450,3,6350,9,left,0,15,5.026,Wed May 11 15:31:21 2016
106,6500,10,6200,8,left,1,11,11.232,Wed May 11 15:31:33 2016
107,6050,7,6200,8,right,1,7,3.392,Wed May 11 15:31:37 2016
108,6500,10,5600,4,right,0,17,3.008,Wed May 11 15:31:40 2016
109,5450,3,6350,9,left,0,15,3.608,Wed May 11 15:31:44 2016
110,1150,1,1450,10,left,0,24,4.992,Wed May 11 15:31:50 2016
111,5150,1,6050,7,left,0,16,6.158,Wed May 11 15:31:57 2016
112,5300,2,5600,4,left,0,5,8.163,Wed May 11 15:32:14 2016
113,5450,3,5150,1,left,1,4,9.964,Wed May 11 15:32:24 2016
114,5600,4,6050,7,left,0,14,11.083,Wed May 11 15:32:36 2016
115,5150,1,5600,4,right,1,6,6.493,Wed May 11 15:32:43 2016
